date,weather_risk_score,event_risk_score
2026-07-20,6.2,1.5
2026-07-21,7.2,1.3
2026-07-22,6.4,1.9
2026-07-23,6.5,1.3
2026-07-24,6.1,1.7
2026-07-25,6.8,1.5
2026-07-26,6.3,0.9
2026-07-27,7.8,1.8
2026-07-28,6.8,0.7
2026-07-29,7.6,0.9
2026-07-30,6.2,1.7
2026-07-31,5.8,1.7
2026-08-01,5.9,1.3
2026-08-02,6.9,1.5
2026-08-03,6.0,0.7
2026-08-04,6.7,1.7
2026-08-05,5.8,1.6
2026-08-06,7.9,1.5
2026-08-07,6.6,1.5
2026-08-08,7.5,1.6
2026-08-09,7.6,1.5
2026-08-10,7.9,0.9
2026-08-11,8.4,2.2
2026-08-12,7.2,1.9
2026-08-13,7.0,1.1
2026-08-14,6.8,1.4
2026-08-15,5.7,1.4
2026-08-16,6.4,1.8
2026-08-17,7.3,0.9
2026-08-18,7.0,1.4
2026-08-19,7.8,1.0
2026-08-20,7.9,1.4
2026-08-21,7.3,1.4
2026-08-22,6.6,1.5
2026-08-23,7.3,1.3
2026-08-24,7.2,1.3
2026-08-25,7.5,1.7
2026-08-26,8.6,1.6
2026-08-27,7.3,1.7
2026-08-28,9.1,1.4
2026-08-29,9.5,1.3
2026-08-30,7.3,1.5
2026-08-31,7.3,1.7
