date,port_congestion_score,avg_waiting_hours
2026-07-19,57.5,36.5
2026-07-20,60.2,34.9
2026-07-21,77.3,48.8
2026-07-22,65.2,41.7
2026-07-23,66.9,44.7
2026-07-24,57.3,37.2
2026-07-25,61.0,41.3
2026-07-26,63.6,44.1
2026-07-27,68.2,46.4
2026-07-28,58.0,38.6
2026-07-29,69.3,45.1
2026-07-30,62.7,38.8
2026-07-31,59.4,40.1
2026-08-01,60.5,42.7
2026-08-02,60.3,39.9
2026-08-03,63.0,44.8
2026-08-04,58.9,35.2
2026-08-05,59.7,36.5
2026-08-06,68.8,46.4
2026-08-07,59.7,39.3
2026-08-08,60.6,42.0
2026-08-09,62.7,40.7
2026-08-10,63.5,39.5
2026-08-11,67.9,43.7
2026-08-12,62.9,37.8
2026-08-13,68.7,42.4
2026-08-14,65.2,44.3
2026-08-15,60.2,40.9
2026-08-16,60.6,40.1
2026-08-17,63.1,37.6
2026-08-18,62.7,40.1
2026-08-19,67.9,41.7
2026-08-20,65.0,44.6
2026-08-21,62.8,39.6
2026-08-22,61.0,37.5
2026-08-23,61.4,40.0
2026-08-24,65.1,41.0
2026-08-25,63.3,44.1
2026-08-26,64.3,40.3
2026-08-27,61.1,36.9
2026-08-28,66.5,38.9
2026-08-29,71.5,46.4
2026-08-30,61.8,39.0
2026-08-31,64.1,38.8
