date,iron_ore_price,coking_coal_price
2026-07-19,110.17,246.55
2026-07-20,115.75,240.95
2026-07-21,113.14,242.16
2026-07-22,113.83,237.26
2026-07-23,117.45,252.93
2026-07-24,119.67,241.93
2026-07-25,117.73,245.64
2026-07-26,117.61,247.86
2026-07-27,116.61,249.81
2026-07-28,115.3,243.23
2026-07-29,115.73,241.53
2026-07-30,117.76,243.96
2026-07-31,115.37,250.62
2026-08-01,118.98,243.45
2026-08-02,115.49,238.05
2026-08-03,118.67,236.25
2026-08-04,119.62,238.29
2026-08-05,113.93,246.56
2026-08-06,117.29,243.08
2026-08-07,117.28,242.62
2026-08-08,113.2,238.91
2026-08-09,114.71,241.56
2026-08-10,121.71,239.05
2026-08-11,118.77,240.35
2026-08-12,119.14,242.77
2026-08-13,119.07,246.89
2026-08-14,116.34,235.2
2026-08-15,117.51,243.3
2026-08-16,121.06,240.83
2026-08-17,123.58,247.11
2026-08-18,122.19,250.42
2026-08-19,121.07,249.54
2026-08-20,131.43,250.81
2026-08-21,124.01,252.55
2026-08-22,123.21,250.23
2026-08-23,123.3,244.9
2026-08-24,121.36,243.01
2026-08-25,121.41,238.39
2026-08-26,123.71,240.14
2026-08-27,118.97,248.7
2026-08-28,117.24,238.33
2026-08-29,119.29,236.31
2026-08-30,118.58,242.11
2026-08-31,121.84,238.85
